,date,link,model,nb_replies,nb_views,title,user
472,latest reply 2 weeks ago                             by themurph_nc,/thread/7694379,iphone_7,1 reply,158 views,iPhone 7 watches pairing issue with Android Wear iOS app,asked by Enrique Garcia
473,latest reply 2 weeks ago                             by jesselash,/thread/7906176,iphone_7,1 reply,"1,078 views",AirPods while road cycling,asked by jakesterpdx
474,2 weeks ago,/thread/8225513,iphone_7,0 replies,13 views,iPhone 7 with no screen,asked by mahyarlatif
475,latest reply 2 weeks ago                             by welafever,/thread/8140621,iphone_7,10 replies,"3,966 views",Iphone 8 blurry screen,asked by davidm46
476,latest reply 2 weeks ago                             by Kappy,/thread/8222833,iphone_7,4 replies,43 views,Iphone 7 Disable,asked by ahwai802
477,latest reply 2 weeks ago                             by JeprilGen,/thread/8225238,iphone_7,2 replies,30 views,I don't have an apple repair history after repairing my phone to an authorized apple repair shop,asked by JeprilGen
478,2 weeks ago,/thread/8224947,iphone_7,0 replies,16 views,Iphone 7 Camera bug,asked by oppsx7
479,latest reply 2 weeks ago                             by bigalwood,/thread/8223332,iphone_7,2 replies,23 views,iphone 7 & Apple ID server,asked by bigalwood
480,latest reply 2 weeks ago                             by MrBill3,/thread/8222366,iphone_7,1 reply,32 views,Carrier setting issue,asked by mmkprasad
481,latest reply 2 weeks ago                             by Mulder2000,/thread/8223754,iphone_7,1 reply,97 views,Poor low battery performance after update to iOS11,asked by AgentSneed
482,latest reply 2 weeks ago                             by emrahe,/thread/8221903,iphone_7,3 replies,43 views,SOS ONLY on iPhone7,asked by brobson13
483,latest reply 2 weeks ago                             by bpsantos,/thread/8223361,iphone_7,2 replies,33 views,iPhone 7 battery life suddenly halved,asked by bpsantos
484,latest reply 2 weeks ago                             by sarah_s1,/thread/8222172,iphone_7,1 reply,19 views,"zoomed in iPhone, 3 finger tap doesn't work",asked by Creaturez
485,latest reply 2 weeks ago                             by welafever,/thread/8222331,iphone_7,1 reply,15 views,iPhone locked,asked by Alex6VISIX
486,latest reply 2 weeks ago                             by hasanie,/thread/7677724,iphone_7,13 replies,"12,985 views",iPhone 7 and high resolution audio,asked by Phlac
487,latest reply 3 weeks ago                             by ProustGiulio,/thread/8218469,iphone_7,2 replies,76 views,My iPhone 7 will not turn on or hard reset.,asked by AnnaSunshine45
488,latest reply 2 weeks ago                             by grant93,/thread/7698529,iphone_7,53 replies,"13,024 views",iPhone 7 Plus Camera Problem against Direct light,asked by Mathias Brito
489,latest reply 2 weeks ago                             by Lawrence Finch,/thread/8220426,iphone_7,4 replies,29 views,locked out of iphone 7,asked by jackson_kane
490,latest reply 2 weeks ago                             by NanaCA,/thread/8219566,iphone_7,4 replies,40 views,"What to do about a disabled iPhone, no iCloud back up?",asked by NanaCA
491,2 weeks ago,/thread/8220469,iphone_7,0 replies,10 views,"no sound on iphone 7, problem restarting",asked by andreasparalimni
492,latest reply 2 weeks ago                             by vicky018,/thread/7787064,iphone_7,5 replies,"4,838 views",iPhone7 Proximity Sensor Not Working,asked by string4721
493,2 weeks ago,/thread/8220597,iphone_7,0 replies,18 views,When your iPhone7 is telling you its disabled connect to iTunes.  Then you go through the process and even re-download the software using your Mac and it still ...,asked by Sofia2Sarah
494,latest reply 2 weeks ago                             by aerosol,/thread/7846084,iphone_7,3 replies,"1,077 views",Camera Audio Working in background,asked by Naimfcb
495,latest reply 2 weeks ago                             by welafever,/thread/8220531,iphone_7,1 reply,8 views,Calendar alert problem,asked by PGILMER
496,latest reply 2 weeks ago                             by Mulder2000,/thread/8220351,iphone_7,3 replies,21 views,my iPhone 7 is not working,asked by vikram1191
497,latest reply 2 weeks ago                             by greasedog,/thread/7695320,iphone_7,38 replies,"64,833 views",iphone 7 speaker issue,asked by tylerfromwaynesville
498,latest reply 3 weeks ago                             by Savy27,/thread/8218655,iphone_7,1 reply,39 views,Iphone 7 Battery,asked by Savy27
499,latest reply 3 weeks ago                             by jinshah05,/thread/7858883,iphone_7,14 replies,"1,059 views",Yellow Tint Display of New iPhone 7,asked by Prabudh
500,latest reply 3 weeks ago                             by jdo_apple,/thread/8217120,iphone_7,1 reply,38 views,locked out of iphone 7,asked by Maxmoore33mm
501,3 weeks ago,/thread/8218372,iphone_7,0 replies,25 views,Iphone 7 microphone not working?,asked by KarmaWizard
502,latest reply 3 weeks ago                             by ProustGiulio,/thread/8218194,iphone_7,1 reply,19 views,Phone volume on 7,asked by dlconstsel
503,latest reply 3 weeks ago                             by dstiefeljr,/thread/8001846,iphone_7,14 replies,"1,234 views","CarPlay, iPhone 7, disconnecting",asked by yeahetc
504,latest reply 3 weeks ago                             by Briansyddall,/thread/8216819,iphone_7,2 replies,14 views,My SIM card seems to be stuck in phone,asked by Seany1970
505,3 weeks ago,/thread/8218003,iphone_7,0 replies,9 views,iMessages on ethernet,asked by MarkDev5
506,latest reply 3 weeks ago                             by lkrupp,/thread/8215934,iphone_7,5 replies,85 views,iPhone 7 is very slow after 11.2 update,asked by Ran07
507,latest reply 3 weeks ago                             by ProustGiulio,/thread/8217842,iphone_7,3 replies,23 views,Apple warranty,asked by Yiyi99
508,latest reply 3 weeks ago                             by Sean Parnell,/thread/8213570,iphone_7,2 replies,26 views,Iphone 7 fails to add music,asked by Sean Parnell
509,latest reply 3 weeks ago                             by Stern1955,/thread/8168159,iphone_7,3 replies,49 views,"My iphone 7 touchscreen still freezes after update 11.1.2, anyone else have this problem?",asked by Dfellner13
510,latest reply 3 weeks ago                             by madra31,/thread/8216259,iphone_7,1 reply,27 views,Iphone 7 doesn't responds to anything,asked by alt0na
511,latest reply 3 weeks ago                             by Mulder2000,/thread/8216157,iphone_7,1 reply,17 views,my iphone 7 is under warranty and it's slowing down after the new update. after looking at the scenario going how much will apple charge me for a new battery?,asked by harsh12101998
512,3 weeks ago,/thread/8215508,iphone_7,0 replies,31 views,iPhone 7 plus India carrier aggregation support,asked by abhi-tyagi
513,latest reply 3 weeks ago                             by Briansyddall,/thread/7988080,iphone_7,7 replies,986 views,iphone 7 water resistance after repair,asked by emraha06
514,latest reply 3 weeks ago                             by welafever,/thread/8214741,iphone_7,1 reply,37 views,iPhone 7/No Service Issues,asked by lcjlramge
515,latest reply 3 weeks ago                             by Philly_Phan,/thread/8214670,iphone_7,1 reply,50 views,Iphone 7 Battery Draining,asked by Mgrestai
516,latest reply 3 weeks ago                             by ckuan,/thread/8214496,iphone_7,1 reply,15 views,Text messaging,asked by philnanni
517,latest reply 3 weeks ago                             by Max(IT),/thread/8212956,iphone_7,4 replies,42 views,"If I get my iPhone 7 screen repaired by Apple, will it still be water resistant?",asked by wmpt1
518,latest reply 3 weeks ago                             by Mulder2000,/thread/8214066,iphone_7,3 replies,36 views,iphone battery drains too fast,asked by iqueenmarylady
519,latest reply 3 weeks ago                             by Starr.C,/thread/8210901,iphone_7,3 replies,57 views,Iphone 7 headphone problem,asked by WillieYF
520,latest reply 3 weeks ago                             by sberman,/thread/8212054,iphone_7,1 reply,81 views,iPhone 7 restarting and glitching,asked by wednesdayfever
521,latest reply 3 weeks ago                             by Briansyddall,/thread/8213535,iphone_7,1 reply,24 views,What happens when I delet a backup on iCloud?,asked by Justforthisone
522,latest reply 3 weeks ago                             by Stuart423,/thread/8211978,iphone_7,1 reply,143 views,Is hard resetting my iPhone 7 will erase all my pictures in my phone,asked by mcdevera
523,latest reply 3 weeks ago                             by Philly_Phan,/thread/7678251,iphone_7,12 replies,"12,785 views","Week old iPhone 7 shows ""invalid sim"" error",asked by Ccmano
524,latest reply 3 weeks ago                             by maexpod,/thread/8172648,iphone_7,3 replies,67 views,iPhone 7 freezing/crashing when using microphone and when making/receving calls,asked by holy.gerail
525,latest reply 3 weeks ago                             by Briansyddall,/thread/8209867,iphone_7,2 replies,64 views,How do I disconnect two iPhones?,asked by Derby456
526,3 weeks ago,/thread/8211802,iphone_7,0 replies,11 views,New iPad or iPhone will not power off HELP,asked by DADIG
527,latest reply 3 weeks ago                             by Snn5,/thread/8209253,iphone_7,3 replies,58 views,When is Apple going to give my 6s full processing power again?,asked by Wrov
528,latest reply 3 weeks ago                             by IdrisSeabright,/thread/7751694,iphone_7,26 replies,"21,438 views",My iPhone7 didn't come with AirPods,asked by AndrewJMarshall
529,latest reply 3 weeks ago                             by Rudegar,/thread/8210048,iphone_7,1 reply,16 views,Fake speed,asked by Cubicnight
530,latest reply 4 weeks ago                             by Briansyddall,/thread/8209098,iphone_7,1 reply,34 views,iPhone 7 battery lasting only 3 hours with minimal usage.,asked by reddy786
531,latest reply 4 weeks ago                             by balmoorisatwik,/thread/8181324,iphone_7,2 replies,56 views,I'm willing to buy an iPhone which should work in India and Australia. So can anyone tell me the list of models which work in both countries (willing to buy any iPh ...,asked by balmoorisatwik
532,latest reply 4 weeks ago                             by Phil0124,/thread/8208636,iphone_7,11 replies,55 views,Iphone 7 Refurbished Test,asked by jilleah1
533,latest reply 4 weeks ago                             by Briansyddall,/thread/8208590,iphone_7,3 replies,23 views,iPhone 7,asked by Oslik
534,latest reply 4 weeks ago                             by KiltedTim,/thread/8208320,iphone_7,4 replies,36 views,iPhone 7 SIM Tray went bad,asked by fshtank
535,latest reply 4 weeks ago                             by Briansyddall,/thread/8208326,iphone_7,2 replies,20 views,I have a question regarding possible water damage and text functions,asked by bniss10
536,latest reply 4 weeks ago                             by munkymajik,/thread/8204445,iphone_7,8 replies,105 views,"System storage at 14 GB... is that normal? If not, how can I get it down?",asked by TheyCallMeMommy
537,latest reply 1 month ago                             by FoxFifth,/thread/8206213,iphone_7,1 reply,28 views,hi,asked by fatyamm
538,latest reply 4 weeks ago                             by getangar,/thread/8207425,iphone_7,1 reply,22 views,iPhone 7 vs iphone 8 opinions,asked by sesmitman
539,latest reply 4 weeks ago                             by MrBill3,/thread/8206988,iphone_7,1 reply,21 views,iPhone 7 unable to launch applications or shut down,asked by leebaz
540,latest reply 1 month ago                             by madra31,/thread/8204788,iphone_7,1 reply,128 views,iPhone 7 call volume is too low,asked by nuthanks
541,latest reply 1 month ago                             by Briansyddall,/thread/8204664,iphone_7,2 replies,30 views,My iPhone 7 (Red) stuck,asked by mattias7
542,latest reply 1 month ago                             by Southbeach43,/thread/8166724,iphone_7,17 replies,350 views,4 partitions in my iphone 7,asked by jdbreaksfree
543,latest reply 1 month ago                             by Beerman.alicea,/thread/8205087,iphone_7,2 replies,20 views,Iphone 7 not working with my external power speakers,asked by Beerman.alicea
544,latest reply 1 month ago                             by DoodaChatter,/thread/8204868,iphone_7,4 replies,30 views,Cracked 7 screen,asked by vicky.l.b
545,1 month ago,/thread/8204711,iphone_7,0 replies,14 views,Home Button not functioning intermittently,asked by rs_0909
546,latest reply 1 month ago                             by madra31,/thread/8204669,iphone_7,1 reply,45 views,iPhone 7 mic not working - won't take/make calls etc,asked by Carolineb666
547,latest reply 1 month ago                             by madra31,/thread/8204384,iphone_7,1 reply,68 views,Reset Network Settings and Cell Service Dropping,asked by naclark46168
548,latest reply 1 month ago                             by Twisha20,/thread/8180004,iphone_7,4 replies,146 views,iOS11 battery drain,asked by gulliver.74
549,latest reply 1 month ago                             by Michael Black,/thread/7670106,iphone_7,17 replies,"3,088 views",iPhone 7 and Gloves,asked by Borgmatix
550,latest reply 1 month ago                             by sjordi,/thread/8106154,iphone_7,10 replies,"1,148 views",Battery draining so fast after upgrade to IOS 11,asked by brbalaji
551,latest reply 1 month ago                             by appleguy.1980,/thread/8055769,iphone_7,5 replies,"1,315 views","iPhone 7 microphone not working during calls, Working in everything else",asked by zurx321
552,latest reply 1 month ago                             by Briansyddall,/thread/8202663,iphone_7,1 reply,34 views,From not original screen to original screen,asked by Julian_Aurelio
553,latest reply 1 month ago                             by sbear0117,/thread/8202378,iphone_7,4 replies,33 views,Where is sent box on iPhone 7 I have a gmail account,asked by sbear0117
554,latest reply 1 month ago                             by Rutland01,/thread/7715258,iphone_7,28 replies,"39,537 views",People can't hear me when talking on the phone of my iPhone 7,asked by bomar1987
555,latest reply 1 month ago                             by HubixPlay,/thread/8201172,iphone_7,3 replies,43 views,iPhone 7 - earpiece sound distortion,asked by HubixPlay
556,1 month ago,/thread/8200936,iphone_7,0 replies,29 views,syncing issues iPhone 7,asked by JAMWB
557,latest reply 1 month ago                             by Tom Gewecke,/thread/7980968,iphone_7,6 replies,109 views,Multilingual typing,asked by sofiagp
558,latest reply 1 month ago                             by Phatpro877,/thread/8199721,iphone_7,2 replies,66 views,i phone stuck on apple logo after latest update,asked by Ivovp
559,latest reply 1 month ago                             by littledope,/thread/8197623,iphone_7,2 replies,130 views,CPU slow of many iPhone.... WHY???,asked by littledope
560,latest reply 1 month ago                             by cyberbiker,/thread/8196964,iphone_7,2 replies,111 views,iPhone 7 not charging properly,asked by JennyQuackles
561,latest reply 1 month ago                             by Rudegar,/thread/8199773,iphone_7,1 reply,38 views,Where is my automotive and visual voicemail?,asked by Otionskeeper
562,latest reply 1 month ago                             by sberman,/thread/8199641,iphone_7,1 reply,49 views,iPhone 7 colors dark after screen repair,asked by focusbud
563,latest reply 1 month ago                             by ogle,/thread/8134752,iphone_7,4 replies,488 views,11.0.3 iMessage back button,asked by APG318
564,latest reply 1 month ago                             by madra31,/thread/8198299,iphone_7,1 reply,74 views,apple id disabled on iphone7,asked by sammidoo
565,latest reply 1 month ago                             by madra31,/thread/8198178,iphone_7,1 reply,76 views,iphone 7 sound,asked by cheerupbaby
566,latest reply 1 month ago                             by IdrisSeabright,/thread/7796540,iphone_7,6 replies,"3,640 views",How do you do a hard reset on iPhone 7?,asked by nole62
567,latest reply 1 month ago                             by gulliver.74,/thread/8198838,iphone_7,2 replies,53 views,Iphone 7 continuous loop of apple logo,asked by Maybecherie
568,latest reply 1 month ago                             by Daddy-Ough,/thread/7686114,iphone_7,44 replies,"15,181 views",iPhone 7 3d touch vibration not working,asked by AndreCR-117
569,latest reply 1 month ago                             by CBW326,/thread/8008928,iphone_7,11 replies,813 views,Iphone 7 home button cracked,asked by jessi608
570,1 month ago,/thread/8197590,iphone_7,0 replies,35 views,problem in iphone 7G,asked by abuw3el
571,latest reply 2 months ago                             by hcustead,/thread/7877690,iphone_7,17 replies,"13,720 views",iPhone 7 Voicemail Transcription Feature not working with AT&T,asked by Jodibug77
572,latest reply 1 month ago                             by Driver8666,/thread/8043082,iphone_7,7 replies,832 views,Bent Iphone 7,asked by kirstey_r
573,latest reply 1 month ago                             by hellosofy,/thread/8021224,iphone_7,3 replies,"3,047 views",Apple logo flashing on iPhone 7,asked by emilyrfujita
574,latest reply 1 month ago                             by mtw2017,/thread/8165312,iphone_7,7 replies,439 views,iPhone 7 lost service. restarted iPhone.(error 3) when re-booting from iTunes. stuck.,asked by rzegarra2706
575,latest reply 1 month ago                             by Rahma12234,/thread/8193997,iphone_7,4 replies,109 views,"My iPhone 7 128gb screen is stuck on apple logo, and I need to backup my iPhone to not lose any data before I restore it, but I can't because of ""Trust this co ...",asked by Rahma12234
576,1 month ago,/thread/8195818,iphone_7,0 replies,56 views,iOS 11 WiFi is slow,asked by swissnet6000
577,latest reply 1 month ago                             by americodias,/thread/8195413,iphone_7,9 replies,75 views,Why is iPhone 7 batery life so short?,asked by americodias
578,latest reply 1 month ago                             by deggie,/thread/8195438,iphone_7,1 reply,21 views,"Glitch with ""it"" on iphone messages and mac computer mail.",asked by sjd713
579,latest reply 1 month ago                             by NeelJaiswal,/thread/8191896,iphone_7,2 replies,53 views,System taking up 122gb of space!,asked by NeelJaiswal
580,latest reply 1 month ago                             by Racer3451,/thread/8194689,iphone_7,1 reply,47 views,Singing in to iCloud,asked by Vergotea
581,latest reply 1 month ago                             by Briansyddall,/thread/8194336,iphone_7,4 replies,41 views,Unable to open app,asked by ironparrot
582,latest reply 1 month ago                             by sunnysunil5,/thread/7673035,iphone_7,4 replies,"1,461 views",problem with lightning earpods,asked by Shaun Hildner
583,1 month ago,/thread/8195018,iphone_7,0 replies,16 views,iPhone 7 does not play via USB in car after upgrade to 11.2,asked by rotorblades
584,latest reply 1 month ago                             by welafever,/thread/8194568,iphone_7,3 replies,87 views,iPhone stuck on 10.3.3?,asked by deldukel1
585,latest reply 1 month ago                             by Cabstar1969,/thread/8069375,iphone_7,10 replies,"1,425 views",Does the iPhone X come with a USB 3.0 lightning port,asked by Asher Menezes
586,latest reply 1 month ago                             by americodias,/thread/8150746,iphone_7,5 replies,"3,369 views",iPhone 7 battery life draining terribly fast,asked by ihawk83
587,latest reply 1 month ago                             by jghiller,/thread/8191266,iphone_7,5 replies,85 views,"iPhone 7 (4 months old) over heating, restarting every 20 seconds, apps not working",asked by jasmiren
588,1 month ago,/thread/8193814,iphone_7,0 replies,7 views,Swipe to answer buggy,asked by DaveB27
589,latest reply 1 month ago                             by Demonheart002,/thread/8193605,iphone_7,1 reply,34 views,Numerous cascading issues with IOS 11.2,asked by Demonheart002
590,1 month ago,/thread/8193480,iphone_7,0 replies,14 views,Messages very glitchy and frozen on Iphone 7 with iOS 11.1,asked by craftytech15
591,latest reply 1 month ago                             by Briansyddall,/thread/8193118,iphone_7,2 replies,139 views,What problem error 26,asked by moh155877
592,latest reply 1 month ago                             by welafever,/thread/8193099,iphone_7,3 replies,37 views,Brightness on iPhone 7,asked by Jags1959
593,latest reply 1 month ago                             by welafever,/thread/8192734,iphone_7,1 reply,61 views,iPhone X water resistance,asked by rony-z
594,latest reply 1 month ago                             by acgillen,/thread/8192391,iphone_7,3 replies,48 views,Iphone 7 keeps turning screen black but it's still working,asked by acgillen
595,1 month ago,/thread/8192274,iphone_7,0 replies,22 views,Carplay phone,asked by garyfromeast hanover
596,latest reply 1 month ago                             by ChrisJ4203,/thread/8191802,iphone_7,4 replies,98 views,"No Service, SIM doesn't seem to be recognized",asked by ck14085
597,latest reply 1 month ago                             by vanagon40,/thread/8190381,iphone_7,1 reply,42 views,iPhone 7 camera problem (lines and shadows in photos),asked by vanagon40
598,latest reply 1 month ago                             by jasmiren,/thread/8184037,iphone_7,6 replies,102 views,iphone keeps interrupting with request for my passcode,asked by apothicdark
599,latest reply 1 month ago                             by kidilamsameer,/thread/7705341,iphone_7,4 replies,"2,429 views",iPhone 7 camera heat/flash disabled,asked by Steve-O23
600,1 month ago,/thread/8189651,iphone_7,0 replies,33 views,Error 9 when restoring iPhone 7,asked by bubbahosh
601,latest reply 1 month ago                             by Briansyddall,/thread/8188629,iphone_7,2 replies,29 views,iPhone 7's battery draining,asked by asMr_98
602,latest reply 1 month ago                             by Briansyddall,/thread/8187686,iphone_7,3 replies,203 views,Iphone 7 overheating and refreshing screen,asked by Percefona
603,latest reply 1 month ago                             by William Kucharski,/thread/8187147,iphone_7,20 replies,222 views,What can I do if Apple sold me a broken phone?,asked by SyberToto
604,latest reply 1 month ago                             by IdrisSeabright,/thread/8188371,iphone_7,1 reply,40 views,new iphone 7 battery issue,asked by Dbuilder
605,latest reply 1 month ago                             by madra31,/thread/8188213,iphone_7,1 reply,18 views,i-pone 7 update via computer using drive c - can I use drive D,asked by MikeF47
606,latest reply 1 month ago                             by madra31,/thread/8186940,iphone_7,3 replies,19 views,Searching/No Service How to Fix or Contact Apple,asked by JoeMama78
607,latest reply 1 month ago                             by oggsie,/thread/8055220,iphone_7,10 replies,"1,189 views",Siri/Voice Control Constantly Activating By Itself?,asked by lucyb91
608,latest reply 1 month ago                             by KiltedTim,/thread/8186406,iphone_7,1 reply,18 views,Search Communities,asked by nitsujgina
609,latest reply 1 month ago                             by Usman_Fahib,/thread/8183859,iphone_7,3 replies,64 views,Replacement Upgrade,asked by Usman_Fahib
610,latest reply 1 month ago                             by Driver8666,/thread/8185012,iphone_7,6 replies,178 views,iPhone 7 crashed and died.,asked by Pinky J
611,latest reply 1 month ago                             by munkymajik,/thread/8186053,iphone_7,1 reply,29 views,crashing into a black screen,asked by ximeiyin
612,1 month ago,/thread/8185601,iphone_7,0 replies,23 views,WEIRD sound iPhone 7 when calling,asked by appleujenetot
613,1 month ago,/thread/8185459,iphone_7,0 replies,19 views,"When using navigation apps, how can I mirror image display my iPhone on my windshield?",asked by raflynch
614,latest reply 1 month ago                             by madra31,/thread/8185390,iphone_7,1 reply,97 views,Does Apple care  cover cracked screens?,asked by kellyfromballston lake
615,latest reply 1 month ago                             by guslov,/thread/8183732,iphone_7,2 replies,52 views,iPhone loading and locking itself,asked by suzycarter_
616,latest reply 1 month ago                             by guslov,/thread/8183454,iphone_7,64 replies,"1,588 views",My iPhone 7 suddenly started to restart by itself.,asked by Eccanz
617,latest reply 2 months ago                             by ChristianKeener,/thread/8184218,iphone_7,4 replies,73 views,11.2 Issues,asked by ChristianKeener
618,latest reply 2 months ago                             by welafever,/thread/8183659,iphone_7,1 reply,47 views,Iphone black screen,asked by wardaaa23
619,latest reply 2 months ago                             by sterling r,/thread/8183525,iphone_7,1 reply,120 views,Does the black screen with spinning wheel problem happen in iPhone 8 and X?,asked by Javier1140
620,latest reply 1 month ago                             by madra31,/thread/8184329,iphone_7,1 reply,28 views,"Error -1,1, and 51",asked by Bret Cummins
621,latest reply 2 months ago                             by Jackie12121,/thread/8183564,iphone_7,1 reply,33 views,"Iphone7 ios 11.1.2, Issue!",asked by muhilfromcoimbatore
622,latest reply 2 months ago                             by mp3bhojpurimix,/thread/8183328,iphone_7,3 replies,64 views,Iphone 7 update every minute,asked by GemScott27
623,2 months ago,/thread/8183257,iphone_7,0 replies,14 views,Update failed iPhone 7,asked by TCIN
624,latest reply 2 months ago                             by Kappy,/thread/8183136,iphone_7,1 reply,33 views,Iphone 7,asked by Gaz4ever
625,latest reply 2 months ago                             by MehranEN,/thread/7677059,iphone_7,19 replies,"20,796 views",iPhone 7 Rattle Top of Phone,asked by GFurm
626,latest reply 2 months ago                             by BenOr,/thread/8181811,iphone_7,2 replies,21 views,iphone 7 bt connectivity works for music but not as a speaker phone,asked by BenOr
627,latest reply 2 months ago                             by from0toHero,/thread/8181963,iphone_7,4 replies,65 views,iPhone 7 256GB ios 11.1.2 overheating with normal use,asked by NovApple
628,2 months ago,/thread/8181243,iphone_7,0 replies,17 views,iPhone 7 Product Red color chipping off,asked by shahz284
629,latest reply 2 months ago                             by vendiagrams,/thread/7858120,iphone_7,3 replies,961 views,Voice commands to locate phone,asked by ------hunter------
630,latest reply 2 months ago                             by lnwinn,/thread/8178257,iphone_7,2 replies,48 views,Trouble with setup,asked by lnwinn
631,latest reply 2 months ago                             by Levanchik,/thread/8138503,iphone_7,3 replies,123 views,iPhone 7 erratic screen while charging,asked by Levanchik
632,latest reply 2 months ago                             by Briansyddall,/thread/8179864,iphone_7,1 reply,27 views,My phone is not working for past two weeks,asked by mofromriverside
633,latest reply 2 months ago                             by Briansyddall,/thread/8177194,iphone_7,3 replies,45 views,my WiFi inactive iPhone 7 ISO11,asked by HUSSAIN19861986
634,latest reply 2 months ago                             by dtsteinb,/thread/8178902,iphone_7,2 replies,26 views,Updates just spin,asked by dtsteinb
635,latest reply 2 months ago                             by BPoland,/thread/8177480,iphone_7,2 replies,31 views,Find application data,asked by BPoland
636,latest reply 2 months ago                             by ckuan,/thread/8176886,iphone_7,4 replies,85 views,My 3gs sim card is too big to fit in my iphone 7. Do I need to get a new one?,asked by YodaObi
637,latest reply 2 months ago                             by madra31,/thread/8177864,iphone_7,1 reply,37 views,iphone 7 switched off on its own,asked by @nims1312
638,latest reply 2 months ago                             by madra31,/thread/8176075,iphone_7,1 reply,40 views,White screen,asked by caseydrice
639,2 months ago,/thread/8177825,iphone_7,0 replies,23 views,3 am iPhone Beeps,asked by demanigo
640,latest reply 2 months ago                             by sberman,/thread/8175746,iphone_7,1 reply,46 views,Restore from iPhone,asked by afrkhn
641,latest reply 2 months ago                             by anonyme4321,/thread/8163584,iphone_7,5 replies,70 views,Cellular data not working if leaving Wifi on iOS11 iPhone 7,asked by ErinChampWalker
642,latest reply 2 months ago                             by Briansyddall,/thread/8177091,iphone_7,1 reply,43 views,how to remove this inscription?,asked by Set60rus
643,latest reply 2 months ago                             by x64uk,/thread/8174666,iphone_7,1 reply,40 views,apps will not open and it will not power off or reset,asked by seallenn
644,latest reply 2 months ago                             by Rudegar,/thread/8173331,iphone_7,1 reply,43 views,My issue is after update new software while restart my phone hunging on apple icon,asked by FSM1
645,latest reply 2 months ago                             by rbrylawski,/thread/8172389,iphone_7,2 replies,30 views,"iPhone Upgrade Program, the worst way to pre order",asked by Markino888
646,latest reply 2 months ago                             by madra31,/thread/8174166,iphone_7,1 reply,45 views,"""There is a problem with your iPhone."" Activation error message?",asked by csaputo824
647,latest reply 2 months ago                             by Crlosav,/thread/7689431,iphone_7,121 replies,"71,498 views",iPhone 7 screen scratches?,asked by jlopez1286
648,latest reply 2 months ago                             by Phil0124,/thread/8170336,iphone_7,5 replies,114 views,Warranty/AppleCare,asked by ashleebreanna__
649,latest reply 2 months ago                             by sykeswut,/thread/8172800,iphone_7,4 replies,42 views,"After I dropped my iphone 7 the screen went completely black, with one white line from top to bottom, but the insides still work..",asked by One_Of_A_Kind
650,latest reply 2 months ago                             by KiltedTim,/thread/8156120,iphone_7,9 replies,391 views,How do I transfer the phone telephone number from a iPhone 6s to a iPhone 7,asked by RicheyRich00755
651,2 months ago,/thread/8172398,iphone_7,0 replies,64 views,"My matte-black iPhone 7's paint is chipping, what can I do?",asked by Marlnn
652,latest reply 2 months ago                             by Briansyddall,/thread/8172285,iphone_7,2 replies,15 views,battery don't hold charge,asked by gimeeee
653,latest reply 2 months ago                             by Ashmard,/thread/8170939,iphone_7,3 replies,72 views,Boot loop,asked by brinve
654,latest reply 2 months ago                             by Briansyddall,/thread/8155909,iphone_7,4 replies,45 views,iPhone 7 freezes,asked by JustJustus
655,latest reply 2 months ago                             by sberman,/thread/8170928,iphone_7,1 reply,32 views,"""Other"" Category is taking up way too much storage",asked by dexterandjax
656,latest reply 2 months ago                             by emakoutz,/thread/8012093,iphone_7,11 replies,"1,551 views",iPhone 7 Call Quality/ Dropping calls,asked by JBlackmon1634
657,latest reply 2 months ago                             by NerakSee,/thread/8169786,iphone_7,2 replies,24 views,My phone continuously resets itself over and over.,asked by NerakSee
658,2 months ago,/thread/8169655,iphone_7,0 replies,20 views,iPhone 7 iSight Camera no longer working.,asked by Sam Dreger
659,latest reply 2 months ago                             by ChrisJ4203,/thread/8168933,iphone_7,4 replies,68 views,Trade in iPhone 7 A1778 for A1660?,asked by apairofdice
660,latest reply 2 months ago                             by R67WRU,/thread/8168417,iphone_7,2 replies,46 views,No redirection for a set of sms ios 11.1.2,asked by R67WRU
661,latest reply 2 months ago                             by Briansyddall,/thread/8167309,iphone_7,2 replies,68 views,exchange Iphone 7 by Iphone 8 or Iphone 10,asked by MEhab
662,latest reply 2 months ago                             by Dbboliver1,/thread/8167703,iphone_7,6 replies,59 views,"When trying to erase iphone7, I keep getting ""Verification Failed"" message. Error connecting to Apple ID server",asked by Dbboliver1
663,latest reply 2 months ago                             by Kamakazi76,/thread/8130278,iphone_7,2 replies,143 views,Frozen Iphone,asked by Rrguol
664,latest reply 2 months ago                             by JX68,/thread/8166174,iphone_7,2 replies,46 views,I am not succeeding to sync with itunes.,asked by JX68
665,latest reply 2 months ago                             by JCSANDERS64,/thread/8166351,iphone_7,2 replies,35 views,Spotlight search stops working sporadically after iOS 11,asked by JCSANDERS64
666,latest reply 2 months ago                             by Arash.ka,/thread/7801178,iphone_7,3 replies,919 views,Dust in iPhone7 camera lens,asked by mattiadebiaggi
667,latest reply 2 months ago                             by ChrisJ4203,/thread/8167151,iphone_7,1 reply,39 views,network locked iPhone,asked by amberdd87
668,latest reply 2 months ago                             by jeremy_v,/thread/8165552,iphone_7,1 reply,41 views,"My phone would shut down, and restart up, and repeat",asked by AndrewM_
669,latest reply 2 months ago                             by William Kucharski,/thread/8164659,iphone_7,1 reply,50 views,problem in my iphone7,asked by peggypetros1972
